Year,Week,Home Team,Away Team,Avg_Home_Score,Avg_Away_Score,%Win Home,%Win Away,Predicted Spread,Over_Under,Actual_Home_Score,Actual_Away_Score,Home_Offensive_Performance,Away_Offensive_Performance,Home_Defensive_Performance,Away_Defensive_Performance,Vegas_Spread,Vegas_Total
2024,2.0,Air Force,San Jose State,24.039,26.105,0.3,0.7,San Jose State - 2.07,O/U: 50.14,7.0,17.0,0.2911934772661092,0.6512162420992147,0.6512162420992147,0.2911934772661092,Air Force -5,44.5
2024,2.0,Alabama,South Florida,51.049,17.885,1.0,0.0,Alabama - 33.16,O/U: 68.93,42.0,16.0,0.8227389370996494,0.8946044171093094,0.8946044171093094,0.8227389370996494,Alabama -31,63.5
2024,2.0,Arizona State,Mississippi State,24.466,28.522,0.17,0.83,Mississippi State - 4.06,O/U: 52.99,30.0,23.0,1.226191449358293,0.8063950634597855,0.8063950634597855,1.226191449358293,Arizona State -5.5,58.5
2024,2.0,Arkansas State,Tulsa,32.308,35.634,0.22,0.78,Tulsa - 3.33,O/U: 67.94,28.0,24.0,0.8666584127770212,0.6735140596059943,0.6735140596059943,0.8666584127770212,Arkansas State -7.5,65.5
2024,2.0,Auburn,California,31.084,23.571,0.95,0.05,Auburn - 7.51,O/U: 54.65,20.0,21.0,0.6434178355424013,0.890925289550719,0.890925289550719,0.6434178355424013,Auburn -13,53.5
2024,2.0,Cincinnati,Pittsburgh,22.499,25.787,0.22,0.78,Pittsburgh - 3.29,O/U: 48.29,27.0,28.0,1.2000533357038092,1.0858184356458682,1.0858184356458682,1.2000533357038092,Cincinnati -1.5,62.5
2024,2.0,Clemson,Appalachian State,36.666,22.258,1.0,0.0,Clemson - 14.41,O/U: 58.92,66.0,20.0,1.8000327278677797,0.8985533291400845,0.8985533291400845,1.8000327278677797,Clemson -16.5,52.5
2024,2.0,Florida Atlantic,Army,26.007,24.385,0.66,0.34,Florida Atlantic - 1.62,O/U: 50.39,7.0,24.0,0.269158303533664,0.9842116054951814,0.9842116054951814,0.269158303533664,Florida Atlantic -3.5,42.5
2024,2.0,Florida International,Central Michigan,22.35,34.112,0.01,0.99,Central Michigan - 11.76,O/U: 56.46,52.0,16.0,2.32662192393736,0.4690431519699812,0.4690431519699812,2.32662192393736,Central Michigan -5.5,51.5
2024,2.0,Illinois,Kansas,23.683,34.357,0.01,0.99,Kansas - 10.67,O/U: 58.04,23.0,17.0,0.97116074821602,0.4948045522018802,0.4948045522018802,0.97116074821602,Kansas -4.5,57.5
2024,2.0,Iowa,Iowa State,12.211,13.555,0.36,0.64,Iowa State - 1.34,O/U: 25.77,19.0,20.0,1.555974121693555,1.4754703061600885,1.4754703061600885,1.555974121693555,Iowa -3,35.5
2024,2.0,Kentucky,South Carolina,24.926,25.088,0.45,0.55,South Carolina - 0.16,O/U: 50.01,6.0,31.0,0.2407125090267191,1.2356505102040816,1.2356505102040816,0.2407125090267191,Kentucky -8.5,42.5
2024,2.0,Louisiana Monroe,UAB,26.618,38.56,0.0,1.0,UAB - 11.94,O/U: 65.18,32.0,6.0,1.2021940040574048,0.1556016597510373,0.1556016597510373,1.2021940040574048,UAB -13,54.5
2024,2.0,Louisville,Jacksonville State,34.41,18.561,1.0,0.0,Louisville - 15.85,O/U: 52.97,49.0,14.0,1.4240046498111016,0.7542697052960509,0.7542697052960509,1.4240046498111016,Louisville -27.5,56.5
2024,2.0,Maryland,Michigan State,26.626,17.39,0.98,0.02,Maryland - 9.24,O/U: 44.02,24.0,27.0,0.9013745962592954,1.5526164462334675,1.5526164462334675,0.9013745962592954,Maryland -9.5,44.5
2024,2.0,Memphis,Troy,29.246,33.188,0.18,0.82,Troy - 3.94,O/U: 62.43,38.0,17.0,1.299322984339739,0.5122333373508496,0.5122333373508496,1.299322984339739,Memphis -18.5,57.5
2024,2.0,Michigan,Texas,22.44,26.475,0.17,0.83,Texas - 4.04,O/U: 48.92,12.0,31.0,0.53475935828877,1.170915958451369,1.170915958451369,0.53475935828877,Texas -7.5,37.5
2024,2.0,Missouri,Buffalo,43.741,15.489,1.0,0.0,Missouri - 28.25,O/U: 59.23,38.0,0.0,0.8687501428865366,0.0,0.0,0.8687501428865366,Missouri -34.5,51.5
2024,2.0,NC State,Tennessee,19.615,30.975,0.01,0.99,Tennessee - 11.36,O/U: 50.59,10.0,51.0,0.5098139179199592,1.6464891041162226,1.6464891041162226,0.5098139179199592,Tennessee -10,60.5
2024,2.0,Navy,Temple,23.921,21.018,0.76,0.24,Navy - 2.90,O/U: 44.94,38.0,11.0,1.5885623510722795,0.5233609287277572,0.5233609287277572,1.5885623510722795,Navy -13,44.5
2024,2.0,Nebraska,Colorado,27.152,25.395,0.68,0.32,Nebraska - 1.76,O/U: 52.55,28.0,10.0,1.0312315851502651,0.3937783028155148,0.3937783028155148,1.0312315851502651,Nebraska -7,56.5
2024,2.0,Nevada,Georgia Southern,25.185,36.586,0.01,0.99,Georgia Southern - 11.40,O/U: 61.77,17.0,20.0,0.6750049632717888,0.5466571912753513,0.5466571912753513,0.6750049632717888,Nevada -1,58.5
2024,2.0,New Mexico State,Liberty,26.997,38.198,0.01,0.99,Liberty - 11.20,O/U: 65.19,24.0,30.0,0.888987665296144,0.7853814335829101,0.7853814335829101,0.888987665296144,Liberty -24,53.5
2024,2.0,North Carolina,Charlotte,39.803,23.004,1.0,0.0,North Carolina - 16.80,O/U: 62.81,38.0,20.0,0.9547019068914404,0.869414014953921,0.869414014953921,0.9547019068914404,North Carolina -22.5,47.5
2024,2.0,Northwestern,Duke,21.549,26.557,0.13,0.87,Duke - 5.01,O/U: 48.11,20.0,26.0,0.9281173140284932,0.9790262454343488,0.9790262454343488,0.9281173140284932,Northwestern -2.5,36.5
2024,2.0,Notre Dame,Northern Illinois,45.19,12.274,1.0,0.0,Notre Dame - 32.92,O/U: 57.46,14.0,16.0,0.3098030537729586,1.3035685188202706,1.3035685188202706,0.3098030537729586,Notre Dame -28,44.5
2024,2.0,Ohio,South Alabama,21.365,27.974,0.07,0.93,South Alabama - 6.61,O/U: 49.34,27.0,20.0,1.2637491223964428,0.7149495960534782,0.7149495960534782,1.2637491223964428,South Alabama -1.5,56.5
2024,2.0,Ohio State,Western Michigan,46.06,8.875,1.0,0.0,Ohio State - 37.19,O/U: 54.93,56.0,0.0,1.21580547112462,0.0,0.0,1.21580547112462,Ohio State -38,54.5
2024,2.0,Oklahoma,Houston,47.226,22.995,1.0,0.0,Oklahoma - 24.23,O/U: 70.22,16.0,12.0,0.3387964256977089,0.5218525766470972,0.5218525766470972,0.3387964256977089,Oklahoma -28,49.5
2024,2.0,Oklahoma State,Arkansas,31.04,28.362,0.74,0.26,Oklahoma State - 2.68,O/U: 59.40,39.0,31.0,1.256443298969072,1.0930117763204288,1.0930117763204288,1.256443298969072,Oklahoma State -7.5,62.5
2024,2.0,Old Dominion,East Carolina,24.242,31.357,0.05,0.95,East Carolina - 7.12,O/U: 55.60,14.0,20.0,0.5775101064268624,0.6378161176132922,0.6378161176132922,0.5775101064268624,Old Dominion -1.5,54.5
2024,2.0,Ole Miss,Middle Tennessee,43.691,20.062,1.0,0.0,Ole Miss - 23.63,O/U: 63.75,52.0,3.0,1.1901764665491747,0.14953643704516,0.14953643704516,1.1901764665491747,Ole Miss -43,62.5
2024,2.0,Oregon,Boise State,48.905,23.964,1.0,0.0,Oregon - 24.94,O/U: 72.87,37.0,34.0,0.7565688579899805,1.4187948589550994,1.4187948589550994,0.7565688579899805,Oregon -21.5,60.5
2024,2.0,Penn State,Bowling Green,39.973,10.957,1.0,0.0,Penn State - 29.02,O/U: 50.93,34.0,27.0,0.8505741375428414,2.464178150953728,2.464178150953728,0.8505741375428414,Penn State -34.5,49.5
2024,2.0,Rutgers,Akron,28.773,13.479,1.0,0.0,Rutgers - 15.29,O/U: 42.25,49.0,17.0,1.702985437736767,1.261221158839677,1.261221158839677,1.702985437736767,Rutgers -22.5,38.5
2024,2.0,SMU,BYU,36.01,24.286,1.0,0.0,SMU - 11.72,O/U: 60.30,15.0,18.0,0.4165509580672036,0.7411677509676357,0.7411677509676357,0.4165509580672036,SMU -11.5,55.5
2024,2.0,San Diego State,Oregon State,16.459,35.797,0.0,1.0,Oregon State - 19.34,O/U: 52.26,0.0,21.0,0.0,0.5866413386596643,0.5866413386596643,0.0,Oregon State -6,54.5
